Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment
Automotive Detailer,18%,392,1373,0.2855061908230153,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Automotive Service Advisor,18%,494,2081,0.237385872176838,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Bike Mechanic,18%,327,1249,0.2618094475580464,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Crew Member,18%,504,1900,0.2652631578947368,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Exterminator,18%,208,946,0.2198731501057082,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Facilities Assistant,18%,382,1845,0.2070460704607046,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Farm Worker,18%,203,822,0.2469586374695863,Sales & Marketing,,,10-12 years,
Handyman,18%,212,919,0.2306855277475517,Hospitality,,,10-12 years,
Heavy Equipment Operators,18%,235,1009,0.2329038652130822,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Installation Manager,18%,673,2670,0.2520599250936329,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
Insulator,18%,186,768,0.2421875,Administrative & Clerical,"Attention to Detail, Time Management, Organization, Communication Skills, Adaptability","Learn advanced digital tools, strengthen organizational expertise, and move into roles involving nuanced human judgment and decision-making.",10-12 years,"Roles in Administrative & Clerical are highly susceptible to automation, especially repetitive and process-driven tasks. However, human oversight, judgment in exceptional cases, and organizational nuance remain important."
Journeyman,18%,206,838,0.2458233890214797,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management, Visionary Leadership","Double down on people management, strategic planning, and fostering innovation—areas where human leadership excels.",10-12 years,"Leadership & Strategy roles are less directly affected by automation but face pressures from AI-enhanced decision-making tools. Strategic vision, ethical leadership, and cross-functional management remain irreplaceable."
Lathe Machinist,18%,223,879,0.2536973833902161,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics, Empathy, Adaptability","Deepen clinical expertise and focus on areas requiring emotional intelligence, ethical judgment, and direct patient interaction.",10-12 years,"Medical & Healthcare roles are supported but not replaced by AI. Diagnostic tools and administrative processes are being automated, but patient care and ethical decision-making are deeply human needs."
Line Service Technician,18%,402,2017,0.1993058998512642,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Risk Management, Process Optimization",Focus on complex supply chain planning and human negotiation elements that AI can't replicate.,10-12 years,"AI is automating tracking, inventory management, and route optimization. Strategic planning and relationship management are still human-dominated."
Low Voltage Technician,18%,434,2115,0.2052009456264775,Law Enforcement,"Crisis Management, Public Safety, Communication, Legal Knowledge, Emotional Intelligence","Focus on frontline roles, negotiation, and community engagement where empathy and human judgment are vital.",10-12 years,"AI is increasingly used in surveillance, predictive policing, and data analysis, but frontline and community-focused law enforcement remains human-driven."
Maintenance,18%,457,1854,0.2464940668824164,Construction,"Project Management, Safety Compliance, Technical Expertise, Problem Solving, Adaptability","Develop project oversight, on-site problem-solving, and people management skills.",10-12 years,"AI enhances construction planning, safety, and monitoring, but skilled trades and on-site management are less automatable."
Maintenance Worker,18%,421,1649,0.2553062462098241,Sales & Marketing,,,10-12 years,
Marine Mechanic,18%,400,1957,0.2043944813490035,Hospitality,,,10-12 years,
Marine Surveyor,18%,482,2242,0.2149866190900981,Communication & PR,"Storytelling, Brand Strategy, Crisis Management, Media Relations, Creativity","Emphasize strategic creativity, cultural insight, and high-level media negotiation.",10-12 years,"AI is transforming content generation and media monitoring, but creative storytelling and crisis management require human insight."
Mechanic,18%,358,1485,0.241077441077441,Data & IT,"Programming, Problem Solving, Cybersecurity, System Architecture, Data Analysis","Focus on complex problem-solving, secure systems, AI integration, and cross-disciplinary tech leadership.",10-12 years,"Data & IT roles are being reshaped by AI, with many coding, testing, and routine analysis tasks automated. High-level design, problem-solving, and security-focused roles continue to thrive."
