Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment,Possible Mismatch
Recreational Therapist,10.0,599,2411,0.2484446287847366,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Rehabilitation Specialist,10.0,565,2253,0.2507767421216156,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",10-12 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Rehabilitation Therapist,10.0,565,2267,0.2492280546978385,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Academic Administrator,10.0,858,3596,0.2385984427141268,Education,"Curriculum Design, Pedagogical Expertise, Student Engagement, Research","Concentrate on creative curriculum design, research, and direct student engagement.",10-12 years,"AI assists with routine educational tasks, enabling educators to focus on interactive and creative teaching.",False
Commercial Real Estate Appraiser,10.0,589,2321,0.2537699267557087,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",10-12 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Estate Manager,10.0,761,3620,0.2102209944751381,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,10-12 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Real Estate Analyst,10.0,722,3348,0.2156511350059737,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",10-12 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Residential Appraiser,10.0,540,2541,0.2125147579693034,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",10-12 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Model Maker,10.0,445,1839,0.241979336595976,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,10-12 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Spa Coordinator,10.0,631,2500,0.2524,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,10-12 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Tailor,10.0,289,1206,0.2396351575456053,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Clinical Documentation Specialist,10.0,775,3049,0.2541816989176779,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Clinical Scientist,10.0,551,2332,0.2362778730703259,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Contact Tracer,10.0,711,3020,0.2354304635761589,Construction,"Project Management, Safety Compliance, Technical Proficiency, Quality Assurance",Specialize in managing complex projects and safety-critical roles.,10-12 years,"AI improves safety, planning, and operational efficiency, requiring roles to focus on management and oversight.",False
Cultivator,10.0,275,1104,0.2490942028985507,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,10-12 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Forester,10.0,549,2492,0.2203049759229534,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,10-12 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Library Page,10.0,792,3156,0.2509505703422053,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",10-12 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Marine Biologist,10.0,431,2053,0.209936678032148,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Nuclear Physicist,10.0,492,2175,0.2262068965517241,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,10-12 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Organizational Psychologist,10.0,516,2072,0.249034749034749,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,10-12 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Park Naturalist,10.0,458,1818,0.2519251925192519,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,10-12 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Physicist,10.0,523,2359,0.221704111911827,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Inventory Control",Excel in complex logistics planning and negotiation.,10-12 years,"AI streamlines logistics operations, emphasizing the importance of analytical and oversight roles.",False
Public Health Analyst,10.0,852,3587,0.2375243936437134,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",10-12 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Research Psychologist,10.0,858,3432,0.25,Construction,"Project Management, Safety Compliance, Technical Proficiency, Quality Assurance",Specialize in managing complex projects and safety-critical roles.,10-12 years,"AI improves safety, planning, and operational efficiency, requiring roles to focus on management and oversight.",False
Social Scientist,10.0,856,3574,0.2395075545607163,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",10-12 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
